processed,Code
carcinoma,80103
nutricion parenteral,3E0336Z
historia de sars-cov-2 (,Z8616
gemelar bicorial/biamniotica,O30043
hipertiroidismo part,O99284
historia neoplasia de mama,V103
esteatosis hepatica,K760
histrectomia,V8801
adk endometroide,83803
anexectomia bilateral laparoscopia,0UT74ZZ
astigmatismo,H52209
radiografia abdominal,8819
hematoma subdural traumatico,S065X0A
hpv parto,O9832
cin ii parto,B977
historia de meniscectomia,Z8739
monitorizacion pulsioximetrica,4A12X4Z
23+1 semanas,Z3A23
atelectasias,5180
escoliosis dorsolumbar,M4185
tomografia axial computarizada abdominal,8801
dg insulinizada,64881
oxigen,9396
linfadenectomia axilar izq,07T60ZZ
ansiosa depresiva,3004
acidosis metabolica,2762
gemelar bicorial biamniotica,O30043
espondilitis anquilosante part,O99891
rtu vesical,5749
trasplantament hepatic,V427
ex-habito enolico,F1011
sahos,G4733
alergia a la penicilina,Z880
bronquitis aguda,J209
omentectomia,0DBU0ZZ
trismus,7810
cirugia anulada por contraindicacion,Z5309
paralisis facial izquierda periferica,G510
sua,N938
gestacion ectopica izquierda,O00102
staphylococcus hominis,B957
histerectomia total laparoscopica,6841
methergin im,3E023GC
ceguera,36900
polineuropatia diabetica,3572
carcinomatosis peritoneal,C786
donante muslo izquierdo,0HDJXZZ
tc craneal con contraste,B0201ZZ
alergica penicilina,V140
radioterapia,Z923
cordon largo,O6989X0
alergica al niquel,Z91048
hipernatremia,E870
sinusitis,4739
registro patologico fetal parto,65971
chagas parto,B571
cirrosis hepatica por nash,K7469
ex-fumadora,Z87891
dispepsia funcional,K30
ojo seco,H04129
tabaco parto,F17210
cicatriz,L905
hipotiroidismo part,O99284
esplenomegalia cirrotica,D732
escherichia coli,B9620
quimioterapia historia,Z9221
alergia a la penicilina,V140
alergica a mercurio,Z91048
antibiotico,3E03329
mastectomia derecha,Z9011
inmunoglobulinas,9914
desgarro paraclitoriano,O700
plaquetopenia,D696
pielonefritis de repeticion,Z87440
ecografia de troncos supraorticos,B348ZZZ
ciatica,M5430
atresia esofagica sense fistula,Q390
ptr izq,0SRD0J9
preclampsia grave,O1414
prolapso genital 2,6184
asma reagudizado,49392
neuralgia de trigemin,G500
gs 0 negativo,Z6741
polineuropatia diabetica 2,25060
migrana part,G43909
rotura menisco externo rodilla izquierda,M23262
semana 40,O480
sjogren,M3500
alergia a sulfamidas,Z882
expansor mama derecho,0HHT0NZ
adenomiosis,N800
intolerancia a la lactosa parto,E739
espondilitis anquilosante,7200
pna 2t,O2302
linfadenectomia axilar,4051
grupo sanguineo materno: a rh positivo,Z6710
aneurisma de aorta ascendente,I712
infeccion por vrs,B974
epilepsia mioclonica juvenil,G40B09
multig,65961
carcinoma de tiroides,193
40 +6 semans,Z3A40
tabaco parto,Z3A41
quemadura dorso mano izquierda,0JBK0ZZ
diabetes mal control,25002
triple by-pass coronario,Z951
hipoacusia neurosensorial,H905
anemia ferropenica parto,O9902
enfermedad coronaria,I2510
amilodosis renal,K77
histerectomia subtotal,6839
ex- fumadora,Z87891
hipertrofia ventricular,I517
factor v leiden,D6851
cancer de mama,1749
tomografia axial computarizada de abdomen,BW20ZZZ
crohn parto,5559
rmn cerebral,8891
alergia a penicilina,V140
tabaquismo parto,F17210
radiografia de torax y abdomen,BW03ZZZ
fistula de lcr,G9609
lavado peritoneo,3E1M38Z
herida quirurgica,E8788
trombopenia parto,64931
reconversion a laparotomia,Z5331
f32.1,F321
utero polimiomatoso,2189
celulitis orbita,37601
trastorno bipolar,F319
"accidente isquemico transitorio paterna , cancer de mama",V163
estenosis ureteral izquierda,Q6210
tumorectomia mama derecha,0HBT0ZZ
hiperglicemia diabetes mellitus,25090
desconexion del medio,R401
carcinoma lobulillar infiltrante,85203
linfadenectomia pelvica bilateral,07TC0ZZ
quimioterapia,Z9221
anemia renal,D631
absceso en labio mayor izquierdo,N764
obstruccion intestinal,K56609
"grupo sanguineo: o, +",Z6740
alergias medicamentosas: nolotil,V146
cancer vejiga,C679
sindrome de raynaud,4430
trombocitosis parto,O9912
ganglio centinella,4023
rciu anteparto,65633
hernia incisional,55321
antecedente de parto pretermino,O09213
hipertrofia de cornetes,J343
tumorectomia mama esquerre,8521
hemorragia postparto,O721
apnea obstructiva del sueno,32723
cdi de mama izq,C50912
cateter doble j izquierdo,0T9780Z
absceso mamario,N611
artritis reumatoide parto,M069
obesidad parto,Z6834
eco obstetrica,8878
recien nacido 2,V272
epilepsia generalizada parto,O99354
mtx ganglio iliaco,1966
adenoma tubular,82110
ventosa fallida,66071
o positivo,Z6740
primipara,O09513
alergia a codeina,V146
torsion testicular,N4400
depressio reactiva,F329
fumadora puerperio,O99335
feto macrosomico,O3663X0
amniodrenaje,10903ZU
espasmos esofagicos,K224
sgb,V0251
peritonitis aguda,K650
bypass gastrico lap,4438
hernia umbilical malla,0WUF0JZ
ecografia obst,BY4FZZZ
madden izq,0HTU0ZZ
salpinguectomia izquierda,0UT60ZZ
tuberculosis,A159
portadora de marcapasos,Z950
trastorno depresivo,F329
discopatia degenerativa l4-l5,M5136
hepatoblastoma,1550
les parto,M329
hipotirodismo parto,E039
aplastamientos vertebrales,73313
sgb positivo,V0251
anexectomia bilateral laparoscopia,0UT74ZZ
hernia diafragmatica congenita,Q790
rectorragia/hematoquecia,K625
parada cardiorrespiratoria sars-cov2 negativo,Z20822
cardiopatia hipertensiva,I119
sarcoidosis pulmonar,D860
alergia al ibuprofeno,Z886
pangastritis cronica,K2950
alimento,E8658
linfadenectomia axilar izqu,07T60ZZ
teratoma ovarico izquierdo,D271
cefalea en racimo,G44009
dolor qx,33818
febriles,R509
hbai,4262
migranas part,G43909
612.1,N651
grupo sanguineo: o +.,Z6740
depresion,F329
pna 2t,Z3A18
hipertension arterial insuficiencia renal cronica 2,I129
fiebre,78060
regularizacion meniscal izq,0SBD4ZZ
ecografia 2t,BY4CZZZ
"alergica a: aas ,??",Z886
ecografia tf,B040ZZZ
ecografia de torax,8873
eco obs,8878
varon,Z370
dga1,O24420
tomografia axial computarizada cranial,B020ZZZ
histerectomia total lap,6841
radiografia abdomen,BW00ZZZ
diabetes gestacional insulinodependiente,O24424
nodulos tiroideos parto,O99284
vejiga hiperactiva,59651
ecografias snc,B040ZZZ
insuficiencia venosa periferica,45981
esplenectomia,Z9081
dolor ciatico,M5430
tiroiditis cronica,E065
febril postoperatorio,R5082
hernia discal lumbar,M5126
hernia discal parto,O9989
virus inmunodeficiencia humana,Z21
insuficiencia renal cronica,5859
ascitis,R188
salpingooforitis cronica,N7013
sarcoma de ewing en femur,1707
sindrome antifosfolipido,D6861
cchh,30233N1
e. coli,04149
anticoagulacion,Z7901
imc:38,Z6838
hepatitis b cronica,B181
gsrh: o+,Z6740
menorragia,6262
asma parto,Z6833
erc agudizada,N179
neoplasia parto,O9A12
cataracta,3669
. hernia hiatal,K449
tumorectomia mama der,0HBT0ZZ
alergia metal,Z91048
insulina,Z794
historia fractura,Z8781
malos antecedentes obstetricos,V2349
dorsolumbalgia,M545
exeresis de ganglios centinela,4023
historia de tuberculosis,Z8611
raynaud,I7300
escoliosis part,O9912
sutura ferida,8659
fumadora part,K226
obstruccion cronica al flujo aereo,J449
deficiencia de vitamina d.,E559
debut diabetico,E1165
candidiasis,1121
deceleraciones,O76
pieloplastia,5587
alergico a optalidon,Z886
otoscopia od,09JH8ZZ
metastasis hepaticas,C787
timpanoplastia,194
canalizacion de vena umbilical,06H033T
hipertension enfermedad renal cronica estadio 4,I129
dise,0CJY8ZZ
artrosis hombro der,M19011
sde. ansioso-depresivo,F418
migrana,G43909
prematuridad 30,P0733
apendicitis aguda no especificada,K3580
grupo a rh+,Z6710
febre,78060
urotc,8771
multigravida,65961
", ex fumador",Z87891
alergia a aspirina,Z886
biopsia selectiva de gangli sentinella,4011
miomectomia histeroscopica,0UB98ZZ
miocardiopatia hipertrofica,I422
alergia pelo,Z91048
esclerosis multiple part,G35
infeccion tracto urinario por e. coli,N390
obesidad morbida parto,O99214
37+3 semanas,Z3A37
hipospadias,0TSD0ZZ
radiografia torax,BW03ZZZ
trombosis venosa profunda femoral izquierda,I82412
dispepsia,K30
adk prostata,185
quistes rinones,N281
talla baja,78343
hipoacusia bilateral,H9193
acromioplastia,0RQG4ZZ
reseccion ileocecal,Z9049
fibrilacion auricular rapida,I4891
rabdomiolisis,M6282
parkinsonismo,G20
osteoartrosis,M1990
hidronefrosi congenita,75329
hipoalbulinemia,2738
hernia hiato parto,O9962
methergin im,3E023GC
amniotomia,10907ZC
conizacion cervical,672
lactancia artificial,67651
itus de repeticion,Z87440
absceso de mama izquierda,N611
amputacion cervical,674
neoplasia mama,1749
riesgo perdida bienestar,O368930
laringomalacia,Q315
desgarros vulvar,0UQMXZZ
virus hepatitis C parto,B182
colecistitis cronica. colelitiasis,K8010
historia de tabaquismo,Z87891
jugando al futbol,Y9366
nodulo tiroideo,2410
ureaplasma,04181
uroquinasa,3E0L3TZ
zona donante muslo derecho,0HBHXZZ
ciatalgia,M5430
sondatge urinari,0T9B7ZZ
hipertension insuficiencia cardiaca,R296
poliquistosis renal,75312
app,O6003
asma part,J449
apgar,4A1HXCZ
insuficiencia respiratoria cronica hipercapnica,J9612
esclerosis valvula aortica,I358
amigdalectomia bilateral,282
hpv parto,D069
apnea del son,G4730
rechazo de la ingesta,R633
ilpp pie izquierdo,0HRNX74
tomografia axial computarizada cranial,8703
cuerpo extrano esofagico,T18198A
sindrome ansioso parto,F419
histerectomia radical,0UT90ZZ
ligadura tubarica,0UL70ZZ
b pos,Z6720
histerectomia,V8801
incontinencia urinaria,78830
quiste de ovario derecho,N83291
artirtis reumatoide parto,M069
polineuropatia,3569
infeccion tracto urinario recien nacido,P393
diverticulosis de sigma,K5730
artrosi,M1990
artromialgias,M2550
sindrome intestino irritable,K589
imc 41.-,V8541
hemorragia posparto,O721
o negativo,Z6741
secuelas avc,43889
hiperplasia prostatica benigna,60020
anexectomia bilateral laparoscopica,0UT74ZZ
hiperuricemia asintomatica,E790
tomografia axial computarizada cerebral,B020ZZZ
distocia de rotacion,O640XX0
fac,I482
hbp,N400
salpingectomia bilateral,6651
b +,Z6720
soplo sistolico,R011
trasplante hepatico,Z944
hipotonia,7813
h40.151,H40151
exprematura,V137
omentectomia,0DBU0ZZ
taponamiento vaginal,2Y44X5Z
leiomioma uterino,D259
hashimoto,E063
cpap,Z9989
28 sem,Z3A28
o positivo,Z6740
traumatisme,E9289
toracocentesis izq,0W9B3ZZ
polipectomia endoscopica,V1272
infeccion de vias urinarias,5990
miopia magna part,O9989
ecoabd,8876
migrana sin aura part,G43009
alcohol,F1010
cesarea anterior,O34211
legrado evacuador,10D17ZZ
desgarro de i grado,7569
histerectomia,6849
historia litiasis renal,V1301
23+2 semanas,Z3A23
vitiligo parto,O9972
alergia a meropenem,Z881
crup,4644
migrana parto,G43909
miocardiopatia hipertrofica obstructiva,42511
gammablobulina anti d,65611
eco urinaria,BT4JZZZ
dismorfia septal,470
ansiedad part,Z370
paratiroidectomia inferior derecha,0GTN0ZZ
ulcus duodenal,K269
carcinoma seroso papilar de endometrio,C541
corticoides,3E0333Z
fibroleiomioma,88900
vertigos perifericos,H81399
bgp,04189
alergia acaros,Z91038
carcinoma ductal infiltrante de mama izquierda,C50912
febre,78060
migranas part,O99354
hipertension arterial insuficiencia renal cronica anteparto,64223
covid part,O9852
carcinoma mama derecha,C50911
otorrea cronica,38860
pulmonar,1970
afonia,78441
adherencias,K660
nutricion enteral por sng,3E0G76Z
hashimoto,2452
linfadenectomia paraaortica laparoscopica,07TD4ZZ
lesion renal aguda,N179
hipotirodismo part,E039
hermana cancer de mama,V163
diarrea cronica,K529
episiotomia,0W8NXZZ
poliposis nasosinusal,4718
bronquitis asmatica,J45909
trombosis venosa profunda,45341
ecografia de abdomen,BW40ZZZ
neoplasia pulmon lsd,1623
fumadora anteparto,64903
antibioteraia,3E03329
protesis de cadera,V4364
monorrena congenita,Q600
rubeola: negativo,Z228
bav de primer grado,I440
cir,O365930
reflux gastro esofagic,53081
peg,BW25ZZZ
dmnid,E119
sindrome del tunel carpiano bilateral,G5603
deficit del camp visual,H5340
sindrome antifosfolipidico,28981
absces de pulmo,5130
reaccion adaptativa,F4320
colestasis parto,O2662
30,Z3A30
tumoracion frontal,D492
gestacion no evolutiva,O034
nausees amb vomits,R112
se extrae cerclaje cervical,0UPD7DZ
hepatitis b parto,O98413
ulcus gastroduodenal,53290
biopsia de peritoneo,5423
anexectomia izquierda,0UT10ZZ
trombosis venosa profunda femoro-poplitea izq,I82432
retirada de expansor,8596
incontinencia urinaria de esfuerzo,N393
apgar,7534
obesidad parto,27800
obesidad morbida part,O99214
espina bifida,Q059
poliartrosis,M159
tc de craneo,B020ZZZ
diabetes,25000
aumentine,3E03329
flemon dentario,5225
radiografia de torax:,BW03ZZZ
hipotiroidisme part,2449
seroma sobreinfectado,99851
antibiotico,9921
colitis ulcerosa parto,K5190
hernia de hiato,5533
gsrh: a positiu,Z6710
desgarro de ii grado,O701
a negativo,Z6711
atonia uterina posparto,O721
desgarro labio,0UQMXZZ
cardiopatia hipertensiva insuficiencia cardiaca congestiva,40291
recien nacido muerta,V271
adenocarcinoma endocervical,C530
mallory-weiss,5307
ecografia vias urinarias,BT4JZZZ
cistoadenoma,84400
alergia aliment,Z91018
sdre lynch,Z1509
migrana part,O99354
fiebre intraparto,O752
esplenectomia,Z9081
herpes zoster parto,O9832
esclerodactilia,L943
desproporcion pelvico fetal 2,66011
poliquistosis hepatorenal,Q446
virus inmunodeficiencia humana parto,O9872
sat,J9601
tc de coll amb contrast,BW2F1ZZ
edema de miembros inferiores,R600
eco abd,8876
37.4 semanas,Z3A37
sutura uretral,0TQD7ZZ
deterioro cognitivo leve,33183
obesitat part,64911
cateteres jj,598
hii,K4090
h25.9,H259
alergias a aas,Z886
hematuri,R319
obesidad part,Z370
fractura de humero proximal derecho,S42201A
gs: o+,Z6740
liquido cefaloraquideo,009U3ZX
hipercolesterolemia,E7800
crisis epilepticas,34590
vertiginoso,3869
sindrome overlap222222222,D469
artrosis manos,M19041
prematuridad 31,P0734
re ++,Z170
osteogenesis imperfecta,Q780
r25.9,R259
hasimoto part,E063
dislipemia,2724
virus inmunodeficiencia humana,V08
espina bifida,74190
macrosoma,O3663X0
ansiedad anteparto,64843
celulitis abdomen,L03311
radiografia de torax:,BW03ZZZ
menstruacion excesiva,N920
migrana sin aura,G43009
historia de neumonia,Z8701
tot,0TUD0JZ
infliximab,3E0330M
desorientacion,R410
expansor mama,8595
z60.8,Z608
perthes,M9110
paraplejia,G8220
febricula intraparto,O752
rectocele,N816
tomografia axial computarizada craneal,B020ZZZ
cesarea,10D00Z1
infeccion tracto urinario part,N390
extraccion cuerpo extrano esofago,9802
neutropenia febril qt,D701
resonancia magnetica perianal,BW3GZZZ
hipercolesterolemia part,O99284
hernioplastia inguinal derecha con malla,5305
hipotiroidisme,2449
radiografia rodilla izquierda,BQ08ZZZ
grupo sanguineo: 0 rh +,Z6740
colon irritable part,O9962
"hipertension arterial enfermedad renal cronica, estadio 3",N183
asimetria facial congenita,7540
cuadro depresivo,311
graves-basedow,E0500
hallux valgus 3,0QBP3ZZ
cistoadenoma ovario,220
kjielland,10S07ZZ
hernia hiatal,K449
alergica a amoxicilina,V141
fractura,V1551
colporrafia anterior,7051
colporrafia posterior,7052
ecocardio nen,B24DZZZ
hematoma episiotomia,O902
papiledema bilateral,H4710
re +++,Z170
fractura de humero derecho,81220
insomnio,G4700
antibioticoterapia,9921
anexectomia bilateral laparoscopica,0UT74ZZ
alergica amoxicilina,Z880
colocacion de expansor,8595
utero miomatoso parto,D259
mastectomia derecha,0HTT0ZZ
alteracion de la marcha,R2689
bocio nodular,E041
hipermenorreas,6262
reconstruccion mama,8570
lipoma,88500
anemia normocitica,D649
sondaje vesical permanente,0T9B70Z
paralisis facial,G510
da,0UT20ZZ
polipo fosa nasal,4710
mastectomia d,Z9011
atrofia macular,7013
mastopatia fibroquistica izq,N6012
trastorno esquizoafectivo,F259
via publica,Y92410
25 semanas,Z3A25
virus hepatitis B parto,O9842
metropatia,6268
:b positivo,Z6720
anticoagulacion,V5861
alergia aas,Z886
desnutricion grave,E43
mastectomia derecha,8541
absceso tubo-ovarico,6142
astigmatisme part,H52209
obesitat 3t,E669
cesarea,O82
monitorizacion cardio-respiratoria,4A12X4Z
sindrome diarreico,78791
misoprostol rectal.,3E0H7GC
retencion de restos abortivos,O034
enfermedad de cronh,K5080
beta talassemia parto,D561
dolor cervical,M542
migranya,G43909
cervix corto anteparto,64973
alergica al optalidon,Z888
v13.65,Z8774
asma 3t,D259
hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva,I509
metrorragia posmenopausica,N950
histerctomia abdominal,6849
crisis asmatica,J45901
cesarea,741
coriamnionitis recien nacido,P392
hallux valgus izquierdo,M2012
reconversion a laparotomia,Z5331
estupor,R401
metatarsalgia pie izquierdo,M7742
fisura palatina,74900
sindrome depresivo,311
quiste vaginal,6238
linfadenectomia axilar (derecha,07T50ZZ
cytotecs rectales,3E0H7GC
30+2 semanas,Z3A30
quiste renal,N281
alfa-talassemia part,O9902
dislipemi,2724
hiperolesterolemia,E7800
gs a positivo,Z6710
herpes genital parto,64761
sind. depresivo,F329
analgesia,3E033NZ
hipoglucemia recien nacido,P704
alergico a nolotil,Z886
balon de bakri,0W3R7ZZ
dermatitis atopica parto,L209
grupo sanguineo ab +,Z6730
cistocele,N8110
alergia melocoton,Z91018
tabaco,F17210
gemelar,P015
miomas intramurales,D251
luxacion de hombro izquierdo,S43005A
mioma part,D259
0 pos,Z6740
gs: b+.,Z6720
paralisis facial,G510
gastritis cronica parto,K2950
polipo gastrico,K317
lactancia artificial,O925
historia de sars cov 2,Z8616
alergia ibuprofen,Z886
deficit proteina s part,O9912
peritonectomia,0DBW0ZZ
655.11,O351XX0
rosacea,6953
al.lergia al metamizol,V146
curas,3E10X8Z
65661,O3663X0
sindrome constitucional,R630
mallory-weiss,K226
historia de carcinoma basocelular en mejilla izquierda,Z85828
salpinguectomia geu izq lap,0UT64ZZ
torcedura,W1840XA
ecografia obstetrica,BY4FZZZ
sordomudo,3897
ictus isquemico h,V1254
mtx pleural,C782
o03.4,O034
nistagmus congenito,H5501
tm vesical,C679
hipertrigliciridemia,E781
meniscectomia derecha,0SBC4ZZ
metadona,F1120
vaginoitis parto,Z3A34
turbinectomia bilateral,2169
hipertension arterial erc insuficiencia cardiaca congestiva,I509
dolor abdolminal,R109
s. tunel carpiano,G5600
petequias,R233
cdi de mama izquieda,C50912
paralisis cuerdas vocales,47833
adenocarcinoma pulmonar,1629
40 partos,O480
ligadura tubarica,0UL70ZZ
carcinoma basocelular historia,V1083
preeclampsia,O1494
amchafibrin,3E033GC
trastorno adaptativo ansioso- depresivo,30928
mixofibrosarcoma,88103
migrana anteparto,64893
hipertensio malaltia renal cronica,N189
hernia discal parto,O99891
absceso parafaringeo,47822
40+1 semanas,Z3A40
salpinguectomia geu izq lap,10T24ZZ
gemelos vivos,Z372
sepsis neonatal,P369
hiperaldosteronismo secundario,25514
fractura de tobillo derecho,S82891A
sindrome gripal,4871
fumadora parto,Z3A30
grupo sanguineo: a positivo,Z6710
alteracion de la coagulacion,2869
alergia parietaria,V1506
feto macrosomico,O3663X0
cin 1,62211
vertigo paroxistico benigno,H8110
feto,Z370
sgb 2,64891
ecografia abd,BW40ZZZ
doble j izq,0T9480Z
cdi,85003
esterilidad primaria,N979
escoliosis congenita,Q675
rasgo talasemico part,D563
ecoabd,BW40ZZZ
ansiedad parto,F419
cultivos endocervicales,O23513
petequial,R233
xoc septic,A419
cannabis part,O99314
lipoma,88500
: ex-fumadora,Z87891
