Code,D_P,processed_Description,processed_Literal
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,diseminacion peritoneal
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,carcinomatosis peritoneal
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,c786
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,peritoneales
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,pseudomixoma peritoneal
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,carcinomatosis peritoneal
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,implante peritoneo
C786,D,neoplasia maligna secundaria de retroperitoneo y peritoneo,carcinomatosis peritoneal
C787,D,neoplasia maligna secundaria de higado y vias biliares intrahepaticas,metastasis hepaticas
C787,D,neoplasia maligna secundaria de higado y vias biliares intrahepaticas,metastasis hepaticas
C787,D,neoplasia maligna secundaria de higado y vias biliares intrahepaticas,m1 hepatica
C787,D,neoplasia maligna secundaria de higado y vias biliares intrahepaticas,mtx higado
C787,D,neoplasia maligna secundaria de higado y vias biliares intrahepaticas,m1 hepaticas
C792,D,neoplasia maligna secundaria de piel,metastasis cutanea
C7951,D,neoplasia maligna secundaria de hueso,m1 (osea
C7951,D,neoplasia maligna secundaria de hueso,osea
C7970,D,neoplasia maligna secundaria de glandula suprarrenal no especificada,metastasis en glandulas suprarrenales
C7971,D,neoplasia maligna secundaria de glandula suprarrenal derecha,metastasis suprarrenal derecha
C7972,D,neoplasia maligna secundaria de glandula suprarrenal izquierda,metastasis suprarrenal izquierda
C8200,D,"linfoma folicular grado i, localizacion no especificada",linfoma folicular grado 1
C8590,D,"linfoma no hodgkin, no especificado, localizacion no especificada",limfoma
C9000,D,"mieloma multiple, sin haber alcanzado remision",mieloma multiple
C9100,D,"leucemia linfoblastica aguda, sin haber alcanzado remision",lal
C9110,D,"leucemia linfocitica cronica de celulas b, sin haber alcanzado remision",leucemia linfatica cronica
C9310,D,"leucemia mielomonocitica cronica, sin haber alcanzado remision",lmmc
D060,D,carcinoma in situ de endocervix,adenocarcinoma in situ endocervical
D069,D,"carcinoma in situ de cuello uterino,no especificado",hpv parto
D069,D,"carcinoma in situ de cuello uterino,no especificado",cin 3
D069,D,"carcinoma in situ de cuello uterino,no especificado",cin iii
D069,D,"carcinoma in situ de cuello uterino,no especificado",cin 3 parto
D071,D,carcinoma in situ de vulva,vin 3
D071,D,carcinoma in situ de vulva,d071
D110,D,neoplasia benigna de glandula parotida,adenoma pleomorfo de parotida derecha
D171,D,neoplasia lipomatosa benigna de piel y tejido subcutaneo de tronco,lipoma escapular derecho
D171,D,neoplasia lipomatosa benigna de piel y tejido subcutaneo de tronco,lipoma lumbar
D1800,D,hemangioma de localizacion no especificada,hemangioma
D1802,D,hemangioma de estructuras intracraneales,cavernoma
D1802,D,hemangioma de estructuras intracraneales,hemangioma cavernoso
D1803,D,hemangioma de estructuras intraabdominales,hemangioma higado
D1803,D,hemangioma de estructuras intraabdominales,hemangioma hepatico
D1803,D,hemangioma de estructuras intraabdominales,hemangiomas hepaticos
D1803,D,hemangioma de estructuras intraabdominales,hemangioma hepatico
D1803,D,hemangioma de estructuras intraabdominales,hemangiomas hepaticos
D1809,D,hemangioma de otras localizaciones,hemangioma en l4
D181,D,"linfangioma, de cualquier localizacion",linfangioma
D241,D,neoplasia benigna de mama derecha,fibroadenoma mama der
D241,D,neoplasia benigna de mama derecha,fibroadenoma mama derecha
D241,D,neoplasia benigna de mama derecha,papiloma mama derecha
D241,D,neoplasia benigna de mama derecha,fad mamarios bilaterales
D242,D,neoplasia benigna de mama izquierda,fibroadenoma mama izqueirda
D242,D,neoplasia benigna de mama izquierda,papiloma mama izquierda
D242,D,neoplasia benigna de mama izquierda,papiloma intracanalicular mama izquierda
D242,D,neoplasia benigna de mama izquierda,papiloma mama izquierda
D242,D,neoplasia benigna de mama izquierda,fibroadenoma mama izquierda
D242,D,neoplasia benigna de mama izquierda,fibroadenoma mama izq
D242,D,neoplasia benigna de mama izquierda,fibroadenoma mama izquierda
D250,D,leiomioma submucoso de utero,leiomioma submucoso
D250,D,leiomioma submucoso de utero,mioma submucosa
D250,D,leiomioma submucoso de utero,mioma submucoso
D250,D,leiomioma submucoso de utero,mioma uterino submucoso
D250,D,leiomioma submucoso de utero,leiomioma submucoso
D250,D,leiomioma submucoso de utero,leiomiomas submucosos
D250,D,leiomioma submucoso de utero,mioma submucoso
D251,D,leiomioma intramural de utero,miomas intramurales
D251,D,leiomioma intramural de utero,mioma parto
D251,D,leiomioma intramural de utero,polipo cervix parto
D251,D,leiomioma intramural de utero,mioma im
D251,D,leiomioma intramural de utero,mioma im
D251,D,leiomioma intramural de utero,mioma intramural parto
D251,D,leiomioma intramural de utero,mioma intramural
D251,D,leiomioma intramural de utero,miomas intramurales parto
D251,D,leiomioma intramural de utero,mioma intramural
D251,D,leiomioma intramural de utero,leiomiomas intramurales
D251,D,leiomioma intramural de utero,leiomioma uterino intramural
D251,D,leiomioma intramural de utero,mioma intramural part
D252,D,leiomioma subseroso de utero,"leiomiomas, subserosos"
D252,D,leiomioma subseroso de utero,mioma subseroso part
D252,D,leiomioma subseroso de utero,mioma subseroso
D252,D,leiomioma subseroso de utero,mioma subseroso parto
D252,D,leiomioma subseroso de utero,hipotir parto
D252,D,leiomioma subseroso de utero,miomas subseroso parto
D252,D,leiomioma subseroso de utero,mioma subseroso part
D252,D,leiomioma subseroso de utero,leiomioma subseroso
D252,D,leiomioma subseroso de utero,rinitis alergica parto
D252,D,leiomioma subseroso de utero,miomas subserosos
D252,D,leiomioma subseroso de utero,leiomioma subseroso
D259,D,"leiomioma de utero, no especificado",leiomiomas uterinos
D259,D,"leiomioma de utero, no especificado",leiomioma uterino
D259,D,"leiomioma de utero, no especificado",utero miomatoso parto
D259,D,"leiomioma de utero, no especificado",asma 3t
D259,D,"leiomioma de utero, no especificado",mioma part
D259,D,"leiomioma de utero, no especificado",mioma
D259,D,"leiomioma de utero, no especificado",utero miomatoso
D259,D,"leiomioma de utero, no especificado",utero miomatoso parto
D259,D,"leiomioma de utero, no especificado",endometriosis parto
D259,D,"leiomioma de utero, no especificado",mioma part
D259,D,"leiomioma de utero, no especificado",mioma
D259,D,"leiomioma de utero, no especificado",leiomiomas
D259,D,"leiomioma de utero, no especificado",leiomioma
D259,D,"leiomioma de utero, no especificado",mioma uterino
D259,D,"leiomioma de utero, no especificado",miomas uterinos
D259,D,"leiomioma de utero, no especificado",mioma uterino
D259,D,"leiomioma de utero, no especificado",utero miomatoso part
D259,D,"leiomioma de utero, no especificado",utero miomatoso
D259,D,"leiomioma de utero, no especificado",utero polimiomatoso
D259,D,"leiomioma de utero, no especificado",mioma parto
D259,D,"leiomioma de utero, no especificado",mioma uterino
D259,D,"leiomioma de utero, no especificado",leiomioma uterino
D259,D,"leiomioma de utero, no especificado",leiomioma
D259,D,"leiomioma de utero, no especificado",miomas part
D259,D,"leiomioma de utero, no especificado",utero miomatoso parto
D259,D,"leiomioma de utero, no especificado",asma part
D259,D,"leiomioma de utero, no especificado",utero miomatoso
D259,D,"leiomioma de utero, no especificado",utero polimiomatoso
D259,D,"leiomioma de utero, no especificado",miomas uterinos
D259,D,"leiomioma de utero, no especificado",utero miomatoso parto
D259,D,"leiomioma de utero, no especificado",miomas
D259,D,"leiomioma de utero, no especificado",leiomioma
D259,D,"leiomioma de utero, no especificado",mioma
D259,D,"leiomioma de utero, no especificado",mioma parto
D259,D,"leiomioma de utero, no especificado",utero polimiomatoso
D259,D,"leiomioma de utero, no especificado",leiomiomas uterino
D270,D,neoplasia benigna de ovario derecho,teratoma ovario derecha
D270,D,neoplasia benigna de ovario derecho,teratoma ovarico derecho
D270,D,neoplasia benigna de ovario derecho,cistoadenoma mucinoso ovarico derecho
D270,D,neoplasia benigna de ovario derecho,teratoma ovario derecho
D270,D,neoplasia benigna de ovario derecho,fibroma ovario derecho
D271,D,neoplasia benigna de ovario izquierdo,fibroma ovarico izquierdo
D271,D,neoplasia benigna de ovario izquierdo,teratoma ovarico izquierdo
D271,D,neoplasia benigna de ovario izquierdo,cistoadenoma mucinoso izquierdo
D271,D,neoplasia benigna de ovario izquierdo,teratoma ovario izquierdo
D271,D,neoplasia benigna de ovario izquierdo,teratoma ovarico izquierdo
D271,D,neoplasia benigna de ovario izquierdo,tumor mucinoso borderline ovario izq
D271,D,neoplasia benigna de ovario izquierdo,teratoma ovario izquierda
D271,D,neoplasia benigna de ovario izquierdo,teratoma en ovario izquierdo
D271,D,neoplasia benigna de ovario izquierdo,cistoadenoma ovario izq
D291,D,neoplasia benigna de prostata,adenoma de prostata grado ii
D320,D,neoplasia benigna de meninges cerebrales,meningioma frontal derecho
D320,D,neoplasia benigna de meninges cerebrales,meningioma
D320,D,neoplasia benigna de meninges cerebrales,meningioma
D3502,D,neoplasia benigna de glandula suprarrenal izquierda,incidentaloma suprarrenal izquierdo
D351,D,neoplasia benigna de glandula paratiroides,adenoma paratiroideo
D352,D,neoplasia benigna de hipofisis,hipotiroidismo part
D352,D,neoplasia benigna de hipofisis,macroadenoma de hipofisis
D352,D,neoplasia benigna de hipofisis,microprolactinoma
D352,D,neoplasia benigna de hipofisis,adenoma hipofisario
D352,D,neoplasia benigna de hipofisis,microadenoma hipofisario
D352,D,neoplasia benigna de hipofisis,adenoma hipofisario
D444,D,neoplasia de comportamiento incierto de conducto craneofaringeo,craneofaringioma
D469,D,"sindrome mielodisplasico, no especificado",sindrome overlap222222222
D469,D,"sindrome mielodisplasico, no especificado",smd
D469,D,"sindrome mielodisplasico, no especificado",sindrome mielodisplasico
D471,D,enfermedad mieloproliferativa cronica,sindrome mieloproliferativo
D472,D,gammapatia monoclonal,gammapatia monoclonal
D472,D,gammapatia monoclonal,gammapatia monoclonal
D472,D,gammapatia monoclonal,gammapatia monoclonal
D472,D,gammapatia monoclonal,gammapatia monoclonal
D473,D,trombocitemia esencial (hemorragica),trombocitosis
D473,D,trombocitemia esencial (hemorragica),trombocitosi essencial
D473,D,trombocitemia esencial (hemorragica),trombocitosis esencial
D473,D,trombocitemia esencial (hemorragica),trombocitosis
D492,D,"neoplasia de comportamiento no especificado de hueso, tejidos blandos y piel",tumoracion frontal
D494,D,neoplasia de comportamiento no especificado de vejiga,tumor vesical
D500,D,anemia ferropenica secundaria a perdida de sangre (cronica),anemia ferropenica por perdidas digestivas
D500,D,anemia ferropenica secundaria a perdida de sangre (cronica),anemizacion secundaria a perdidas digestivas
D500,D,anemia ferropenica secundaria a perdida de sangre (cronica),anemia secundaria a hipermenorrea
D500,D,anemia ferropenica secundaria a perdida de sangre (cronica),anemia ferropenica secundaria a perdidas digestivas
D509,D,"anemia ferropenica, no especificada",anemia microcitica
D509,D,"anemia ferropenica, no especificada",anemia microcitica/hipocromica
D509,D,"anemia ferropenica, no especificada",anemia feropenica
D509,D,"anemia ferropenica, no especificada",hipertension arterial ice
D509,D,"anemia ferropenica, no especificada",anemia normocitica hipocromica
D509,D,"anemia ferropenica, no especificada",anemia ferropenica 2t
D509,D,"anemia ferropenica, no especificada",anemia ferropenica cronica
D509,D,"anemia ferropenica, no especificada",anemia ferropenica parto
D509,D,"anemia ferropenica, no especificada",anemia ferropenica parto
D509,D,"anemia ferropenica, no especificada",asma part
D509,D,"anemia ferropenica, no especificada",anemia ferropenica
D509,D,"anemia ferropenica, no especificada",anemia ferropenica parto
D509,D,"anemia ferropenica, no especificada",anemia ferropenica
D509,D,"anemia ferropenica, no especificada",anemia microcitica
D509,D,"anemia ferropenica, no especificada",anemia ferropenica part
D509,D,"anemia ferropenica, no especificada",anemia ferropenia
D509,D,"anemia ferropenica, no especificada",anemia ferropenica
D509,D,"anemia ferropenica, no especificada",anemia ferropenica
D509,D,"anemia ferropenica, no especificada",anemia normocitica hipocroma
D509,D,"anemia ferropenica, no especificada",anemia ferropencia parto
D510,D,anemia por carencia de vitamina b12 debida a carencia de factor intrinseco,anemia perniciosa
D518,D,otras anemias por carencia de vitamina b12,anemia por deficit de vitamina b12
D519,D,"anemia por carencia de vitamina b12, no especificada",anemia por deficit de b12
D539,D,"anemia nutricional, no especificada",anemia cronica
D539,D,"anemia nutricional, no especificada",anemia macrocitica
D561,D,beta talasemia,beta talassemia parto
D562,D,talasemia delta-beta,talasemia delta-beta
D563,D,talasemia menor,rasgo talasemico part
D563,D,talasemia menor,escoliosis parto
D563,D,talasemia menor,talasemia minor part
D563,D,talasemia menor,talasemia minor parto
D563,D,talasemia menor,talasemia minor
D563,D,talasemia menor,talasemia minor parto
D563,D,talasemia menor,talasemia minor
D563,D,talasemia menor,rasgo talasemico
D569,D,"talasemia, no especificada",talasemia part
D580,D,esferocitosis hereditaria,esferocitosis hereditaria parto
